"מק""ט חלופי","תיאור פריט","דגם","צבע","מידה","מחלקה","מחיר מכירה","מחירון 1","סה""כ מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX","קוד דגם","קבוצה","פריט","ברקוד"
"1369221001OSFM","UA Undeniable 5","UA Undeniable 5.0 Duffle XS","001","One size","אנדר ארמור","199.90","199.9","-2","","","","","-2","1369221","","195252744090","195252744090"
"1369222001OSFM","UA Undeniable 5","UA Undeniable 5.0 Duffle SM","001","One size","אנדר ארמור","249.90","249.9","-2","","","","","-2","1369222","","195252745066","195252745066"
"1373718001LG","UA Vanish Woven 6in","UA Vanish Woven 6in Shorts","001","L","אנדר ארמור","153.00","153","-2","","","","","-2","1373718","","195253510571","195253510571"
"1373718001MD","UA Vanish Woven 6in","UA Vanish Woven 6in Shorts","001","M","אנדר ארמור","153.00","153","-3","","","","","-3","1373718","","195253510595","195253510595"
"1373718001XL","UA Vanish Woven 6in","UA Vanish Woven 6in Shorts","001","XL","אנדר ארמור","153.00","153","-1","","","","","-1","1373718","","195253510601","195253510601"
"1373718001SM","UA Vanish Woven 6in","UA Vanish Woven 6in Shorts","001","S","אנדר ארמור","153.00","153","-2","","","","","-2","1373718","","195253510618","195253510618"
"1326413390MA2","UA Tech 2.0 SS Tee","UA Tech 2.0 SS Tee","390","L","אנדר ארמור","139.90","139.9","-2","","","","","-2","1326413","","195253814167","195253814167"
"1326413390MA2","UA Tech 2.0 SS Tee","UA Tech 2.0 SS Tee","390","M","אנדר ארמור","139.90","139.9","-2","","","","","-2","1326413","","195253814204","195253814204"
"1326413390MA2","UA Tech 2.0 SS Tee","UA Tech 2.0 SS Tee","390","S","אנדר ארמור","139.90","139.9","-1","","","","","-1","1326413","","195253814228","195253814228"
"1326413390MA2","UA Tech 2.0 SS Tee","UA Tech 2.0 SS Tee","390","XL","אנדר ארמור","139.90","139.9","-2","","","","","-2","1326413","","195253814242","195253814242"
"1326413390MA2","UA Tech 2.0 SS Tee","UA Tech 2.0 SS Tee","390","XXL","אנדר ארמור","139.90","139.9","-1","","","","","-1","1326413","","195253814280","195253814280"
"29473","MLB New York Ya","","","","נייק בקבוקים וציוד","120.00","120","-3","","","","","-3","","","196002729473","196002729473"
"22430","MLB New York Ya","","","","נייק בקבוקים וציוד","120.00","120","-2","","","","","-2","","","196505322430","196505322430"
"22447","MLB New York Ya","","","","נייק בקבוקים וציוד","120.00","120","-2","","","","","-2","","","196505322447","196505322447"
"B-RAC17CTP-WH","MLB New York Ya","","","One size","נייק בקבוקים וציוד","120.00","120","-2","","","","","-2","","","196505322478","196505322478"
"FB5372","U NK DF CLUB CA","","","S/M","נייק ביגוד טים ספורט","89.00","89","-3","","","","","-3","","","196606812755","196606812755"
"1379755390MA2","UA Rival Fleece Crew","UA Rival Fleece Crew","390","L","אנדר ארמור","219.90","219.9","-2","","","","","-2","1379755","","196884156879","196884156879"
"1379755390MA2","UA Rival Fleece Crew","UA Rival Fleece Crew","390","M","אנדר ארמור","219.90","219.9","-2","","","","","-2","1379755","","196884156930","196884156930"
"1379755390MA2","UA Rival Fleece Crew","UA Rival Fleece Crew","390","XL","אנדר ארמור","219.90","219.9","-2","","","","","-2","1379755","","196884157104","196884157104"
"1379755390MA2","UA Rival Fleece Crew","UA Rival Fleece Crew","390","XXL","אנדר ארמור","219.90","219.9","-1","","","","","-1","1379755","","196884157135","196884157135"
"1379755025MA2","UA Rival Fleece Crew","UA Rival Fleece Crew","025","S","אנדר ארמור","219.90","219.9","-1","","","","","-1","1379755","","196884798604","196884798604"
"1379755025MA2","UA Rival Fleece Crew","UA Rival Fleece Crew","025","M","אנדר ארמור","219.90","219.9","-2","","","","","-2","1379755","","196884798628","196884798628"
"1379755025MA2","UA Rival Fleece Crew","UA Rival Fleece Crew","025","XL","אנדר ארמור","219.90","219.9","-1","","","","","-1","1379755","","196884798666","196884798666"
"1379755025MA2","UA Rival Fleece Crew","UA Rival Fleece Crew","025","L","אנדר ארמור","219.90","219.9","-2","","","","","-2","1379755","","196884798734","196884798734"
"1382902100M2R","UA HW LC PATCH","UA HW LC PATCH SS","100","L","אנדר ארמור","199.90","199.9","-2","","","","","-2","1382902","","196885389757","196885389757"
"1382902100M2R","UA HW LC PATCH","UA HW LC PATCH SS","100","M","אנדר ארמור","199.90","199.9","-3","","","","","-3","1382902","","196885389764","196885389764"
"1382902100M2R","UA HW LC PATCH","UA HW LC PATCH SS","100","S","אנדר ארמור","199.90","199.9","-1","","","","","-1","1382902","","196885389771","196885389771"
"1382902100M2R","UA HW LC PATCH","UA HW LC PATCH SS","100","XL","אנדר ארמור","199.90","199.9","-1","","","","","-1","1382902","","196885389788","196885389788"
"1382902001M2R","UA HW LC PATCH","UA HW LC PATCH SS","001","S","אנדר ארמור","179.90","179.9","-3","","","","","-3","1382902","","196885390159","196885390159"
"1382902001M2R","UA HW LC PATCH","UA HW LC PATCH SS","001","L","אנדר ארמור","179.90","179.9","-2","","","","","-2","1382902","","196885390166","196885390166"
"1382902001M2R","UA HW LC PATCH","UA HW LC PATCH SS","001","XL","אנדר ארמור","179.90","179.9","-1","","","","","-1","1382902","","196885390173","196885390173"
"1382902001M2R","UA HW LC PATCH","UA HW LC PATCH SS","001","M","אנדר ארמור","179.90","179.9","-3","","","","","-3","1382902","","196885390197","196885390197"
"1382902011M2R","UA HW LC PATCH","UA HW LC PATCH SS","011","S","אנדר ארמור","199.90","199.9","-2","","","","","-2","1382902","","196885392436","196885392436"
