"#","פריט","שם פריט","מחיר מכירה","מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"1576","3468335504520","TL HOODED JACKE","179.00","5","1","4","","",""
"1577","3468335504537","TL HOODED JACKE","179.00","","","","","",""
"1578","3468335504544","TL HOODED JACKE","179.00","","","","","",""
"1579","3468335504551","TL HOODED JACKE","179.00","4","1","3","","",""
"1580","3468335504568","TL HOODED JACKE","179.00","4","","4","","",""
"1581","3468335504575","TL HOODED JACKE","179.00","8","1","7","","",""
"1582","3468335504582","TL HOODED JACKE","179.00","3","","3","","",""
"1583","3468335504605","TL HOODED JACKE","179.00","9","1","8","","",""
"1584","3468335504612","TL HOODED JACKE","179.00","9","","9","","",""
"1585","3468335504629","TL HOODED JACKE","179.00","9","","9","","",""
"1586","3468335504636","TL HOODED JACKE","179.00","9","1","8","","",""
"1587","3468335504643","TL HOODED JACKE","179.00","9","1","8","","",""
"1588","3468335504650","2XLTL HOODED JACKET","179.00","9","1","8","","",""
"1589","3468335504667","TL HOODED JACKE","179.00","3","","3","","",""
"1590","3468335504681","TL HOODED JACKET-BL","179.00","1","","","1","",""
"1591","3468335504698","TL HOODED JACKE","179.00","","","","","",""
"1592","3468335504704","TL HOODED JACKE","179.00","","","","","",""
"1593","3468335504711","TL HOODED JACKE","179.00","","","","","",""
"1594","3468335504728","TL HOODED JACKE","179.00","","","","","",""
"1595","3468335504735",",XXL,TL HOODED JACKE","179.00","19","1","18","","",""
"1596","3468335504742","TL HOODED JACKE","179.00","3","1","2","","",""
"1597","3468335504766","TL HOODED JACKE","179.00","10","","9","1","",""
"1598","3468335504773","TL HOODED JACKE","179.00","9","2","5","","","2"
"1599","3468335504780","TL HOODED JACKE","179.00","3","1","2","","",""
"1600","3468335504797","TL HOODED JACKE","179.00","4","1","3","","",""
"1601","3468335504803","TL HOODED JACKE","149.90","1","","","1","",""
"1602","3468335504810","TL HOODED JACKE","179.00","4","1","3","","",""
"1603","3468335504827","3XLTL HOODED JACKET-","179.00","3","","3","","",""
"1604","3468335504841","TL HOODED JACKE","179.00","10","2","8","","",""
"1605","3468335504858","TL HOODED JACKE","179.00","7","","7","","",""
"1606","3468335504865","TL HOODED JACKE","179.00","4","1","3","","",""
"1607","3468335504872","TL HOODED JACKE","179.90","","","","","",""
"1608","3468335504889","TL HOODED JACKE","179.00","4","","4","","",""
"1609","3468335504896","TL HOODED JACKE","179.00","9","2","7","","",""
"1610","3468335504902","TL HOODED JACKE","179.00","3","","3","","",""
"1611","3468335504926","TL PANT","139.90","","","","","",""
"1612","3468335504933","TL PANT","139.90","","","","","",""
"1613","3468335504940","TL PANT","139.90","","","","","",""
"1614","3468335505213","TL BERMUDA -BLA","149.90","","","","","",""
"1615","3468335505220","TL BERMUDA -BLA","149.90","1","","","1","",""
"1616","3468335505237","TL BERMUDA -BLA","149.90","","","","","",""
"1617","3468335505244","TL BERMUDA -BLA","149.90","5","3","","2","",""
"1618","3468335505251","TL BERMUDA -BLA","149.90","","","","","",""
"1619","3468335505268","TL BERMUDA -BLA","149.90","1","","","1","",""
"1620","3468335505275","TL BERMUDA -BLA","149.90","1","1","","","",""
"1621","3468335505299","TL BERMUDA -NAV","149.90","","","","","",""
"1622","3468335505305","TL BERMUDA -NAV","149.90","","","","","",""
"1623","3468335505312","TL BERMUDA -NAV","149.90","","","","","",""
"1624","3468335505329","TL BERMUDA -NAV","149.90","","","","","",""
"1625","3468335505336","TL BERMUDA -NAV","149.90","","","","","",""
"1626","3468335505343","TL BERMUDA -NAV","149.90","","","","","",""
"1627","3468335505350","TL BERMUDA -NAV","149.90","","","","","",""
"1628","3468335505374","TL BERMUDA -ROY","149.90","","","","","",""
"1629","3468335505381","TL BERMUDA -ROY","149.90","","","","","",""
"1630","3468335505398","TL BERMUDA -ROY","149.90","","","","","",""
"1631","3468335505404","TL BERMUDA -ROY","149.90","","","","","",""
"1632","3468335505411","TL BERMUDA -ROY","149.90","1","","","1","",""
"1633","3468335505428","TL BERMUDA -ROY","149.90","1","","","1","",""
"1634","3468335505435","TL BERMUDA -ROY","149.90","1","","","1","",""
"1635","3468335505459","TL WARM UP JACK","179.90","10","1","8","1","",""
"1636","3468335505466","TL WARM UP JACK","179.90","9","","9","","",""
"1637","3468335505473","TL WARM UP JACK","179.90","9","1","8","","",""
"1638","3468335505480","TL WARM UP JACK","179.90","10","1","8","1","",""
"1639","3468335505497","TL WARM UP JACK","179.90","9","","9","","",""
"1640","3468335505503","2XLTL WARM UP JACKET","179.90","9","1","8","","",""
"1641","3468335505510","TL WARM UP JACK","179.90","3","1","2","","",""
"1642","3468335505534","TL WARM UP JACKET -","199.00","1","","","1","",""
"1643","3468335505541","TL WARM UP JACK","179.00","1","","","1","",""
"1644","3468335505558","TL WARM UP JACK","179.00","1","","","1","",""
"1645","3468335505565","TL WARM UP JACK","179.00","8","","7","1","",""
"1646","3468335505572","TL WARM UP JACK","179.00","15","","14","1","",""
"1647","3468335505589","TL WARM UP JACK","179.00","20","","19","1","",""
"1648","3468335505596","TL WARM UP JACK","179.00","4","","3","1","",""
"1649","3468335505619","TL S/S POLO חולצת פו","","7","7","","","",""
"1650","3468335505626","TL WARM UP JACK","179.00","7","7","","","",""
"1651","3468335505633","TL WARM UP JACK","179.00","","","","","",""
"1652","3468335505640","TL WARM UP JACK","179.00","3","3","","","",""
"1653","3468335505657","TL WARM UP JACK","179.00","6","","6","","",""
"1654","3468335505664","TL WARM UP JACK","179.00","13","1","11","1","",""
"1655","3468335505671","TL WARM UP JACK","179.00","4","1","2","1","",""
"1656","3468335505695","TL WARM UP JACK","","6","","6","","",""
"1657","3468335505701","TL WARM UP JACK","179.00","3","1","2","","",""
"1658","3468335505718","TL WARM UP JACK","179.00","6","1","5","","",""
"1659","3468335505725","TL WARM UP JACK","","18","","18","","",""
"1660","3468335505732","TL WARM UP JACK","179.00","11","1","10","","",""
"1661","3468335505749","TL WARM UP JACK","179.00","14","1","13","","",""
"1662","3468335505756","TL WARM UP JACK","179.00","4","1","3","","",""
"1663","3468335505770","TL WARM UP PANT","149.90","1","","","1","",""
"1664","3468335505787","TL WARM UP PANT","149.90","1","","","1","",""
"1665","3468335505794","TL WARM UP PANT","149.90","1","","","1","",""
"1666","3468335505800","TL WARM UP PANT","149.90","1","","","1","",""
"1667","3468335505817","TL WARM UP PANT","149.90","1","","","1","",""
