,פריט,שם פריט,מלאי,מלאי,מלאי,מלאי,מלאי,מלאי
203,3468335505732,TL WARM UP JACKET-ROYAL/GREY,11,1,0,10,0,0
204,3468335505749,TL WARM UP JACKET-ROYAL/GREY,14,1,0,13,0,0
205,3468335505756,TL WARM UP JACKET-ROYAL/GREY,4,1,0,3,0,0
206,3468335505770,TL WARM UP PANT RED,1,0,1,0,0,0
207,3468335505787,TL WARM UP PANT RED,1,0,1,0,0,0
208,3468335505794,TL WARM UP PANT RED,1,0,1,0,0,0
209,3468335505800,TL WARM UP PANT RED,1,0,1,0,0,0
210,3468335505817,TL WARM UP PANT RED,1,0,1,0,0,0
211,3468335505824,2XLTL WARM UP PANT RED,1,0,1,0,0,0
212,3468335505848,TL WARM UP PANT,10,1,0,9,0,0
213,3468335505855,TL WARM UP PANT-BLACK,1,0,1,0,0,0
214,3468335505862,TL WARM UP PANT-BLACK,1,0,1,0,0,0
215,3468335505879,TL WARM UP PANT-BLACK,1,0,1,0,0,0
216,3468335505886,TL WARM UP PANT-BLACK,1,0,1,0,0,0
217,3468335505893,TL WARM UP PANT-BLACK,1,0,1,0,0,0
218,3468335505916,TL WARM UP PANT - NAVY,1,0,1,0,0,0
219,3468335505947,TL WARM UP PANT - NAVY,1,0,1,0,0,0
220,3468335505961,TL WARM UP PANT - NAVY,1,0,1,0,0,0
221,3468335505985,TL WARM UP PANT -ROYAL,1,0,1,0,0,0
222,3468335506005,TL WARM UP PANT -ROYAL,1,0,1,0,0,0
223,3468335506029,TL WARM UP PANT -ROYAL,1,0,1,0,0,0
224,3468335506036,TL WARM UP PANT -ROYAL,1,0,1,0,0,0
225,3468335506050,TL KNITTED POLY JACKET-BLACK,10,0,1,9,0,0
226,3468335506067,TL KNITTED POLY JACKET-BLACK,8,0,1,7,0,0
227,3468335506074,TL KNITTED POLY JACKET-BLACK,7,0,1,6,0,0
228,3468335506081,TL KNITTED POLY JACKET-BLACK,7,3,1,3,0,0
229,3468335506098,TL KNITTED POLY JACKET-BLACK,8,1,1,6,0,0
230,3468335506104,TL KNITTED POLY JACKET-BLACK,10,0,1,9,0,0
231,3468335506111,TL KNITTED POLY JACKET-BLACK,4,0,1,3,0,0
232,3468335506135,TL KNITTED POLY JACKET NAVY,9,0,0,9,0,0
