"מק""ט",תאור,ברקוד,תאור לועזי,סטטוס,טיפוס,לטיפול,יח' קניה/מכירה,משפחת מוצר/קוד מיון,תאור משפחה,פריט מרכז?,ספק מועדף,שם ספק,סרגל מידות,שם סרגל מידות,מחיר מקור לצרכן,מטבע המחירון,מחיר קניה,מטבע קניה,"מחיר בסיס כולל מע""מ",מחיר במחירון POS,"מחיר כולל מע""מ POS",פריט מקביל,מותג11,תאור פרמטר 11 למוצר,דיויזן12,תאור פרמטר 12 למוצר,מגדר13,תאור פרמטר 13 למוצר,עונה/שנה14,תאור פרמטר 14 למוצר,עונה15,תאור פרמטר 15 למוצר,ספורט ענף17,במחסן מחלקה19,קוד מיון אליטל,צבע,תאור צבע,סטטוס בפריוריטי
AR009042710,ARENA ZEAL JR ROBE,AR009042710,ARENA ZEAL JR ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,24,ארנה פעוטות 0<4-5,199,שח,10.07,EUR,234.82,168.64,199,009042710,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,710,NAVY-WHITE,חדש
AR009042810,ARENA ZEAL JR ROBE,AR009042810,ARENA ZEAL JR ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,24,ארנה פעוטות 0<4-5,199,שח,11.79,EUR,234.82,168.64,199,009042810,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,810,TURQUOISE-WHITE,קיים
AR009042910,ARENA ZEAL JR ROBE,AR009042910,ARENA ZEAL JR ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,24,ארנה פעוטות 0<4-5,199,שח,11.79,EUR,234.82,168.64,199,009042910,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,910,SHOKING PINK-WHITE,קיים
AR009049400,ARENA JACQUARD TOWEL,AR009049400,ARENA JACQUARD TOWEL,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,179,שח,8.949999999999999,EUR,211.22,151.69,179,009049400,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,400,INDIAN RED,חדש
AR009049620,ARENA JACQUARD TOWEL,AR009049620,ARENA JACQUARD TOWEL,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,179,שח,8.949999999999999,EUR,211.22,151.69,179,009049620,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,620,SOFT GREEN,חדש
AR009049650,ARENA JACQUARD TOWEL,AR009049650,ARENA JACQUARD TOWEL,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,179,שח,8.949999999999999,EUR,211.22,151.69,179,009049650,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,650,ASH GREEN,חדש
AR009049701,ARENA JACQUARD TOWEL,AR009049701,ARENA JACQUARD TOWEL,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,179,שח,8.949999999999999,EUR,211.22,151.69,179,009049701,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,701,NAVY,חדש
AR009049870,ARENA JACQUARD TOWEL,AR009049870,ARENA JACQUARD TOWEL,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,179,שח,8.949999999999999,EUR,211.22,151.69,179,009049870,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,870,STEAL BLUE,חדש
AR009049881,ARENA JACQUARD TOWEL,AR009049881,ARENA JACQUARD TOWEL,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,179,שח,8.949999999999999,EUR,211.22,151.69,179,009049881,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,881,TURQUOISE,חדש
AR009049901,ARENA JACQUARD TOWEL,AR009049901,ARENA JACQUARD TOWEL,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,179,שח,8.949999999999999,EUR,211.22,151.69,179,009049901,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,901,SHOCKING PINK,חדש
