"מק""ט","מק""ט חלופי",ברקוד,תיאור פריט,תיאור לועזי,צבע,תיאור צבע,מידה,מחלקה,קבוצה,תת קבוצה,ספק,מותג,עונה,מחיר קנייה EUR,"מחיר מכירה כולל מע""מ",מחיר סיטונאי,יחידת מידה,מוצר אב
3468337870968,AR001198908,3468337870968,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,36,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198908
3468337870975,AR001198908,3468337870975,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,38,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198908
3468337870982,AR001198908,3468337870982,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,40,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198908
3468337870999,AR001198908,3468337870999,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,42,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198908
3468337871002,AR001198908,3468337871002,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,44,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198908
3468337967231,AR001198960,3468337967231,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,30,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198960
3468337967248,AR001198960,3468337967248,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,32,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198960
3468337967255,AR001198960,3468337967255,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,34,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198960
3468337967262,AR001198960,3468337967262,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,36,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198960
3468337967279,AR001198960,3468337967279,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,38,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198960
3468337967286,AR001198960,3468337967286,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,40,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198960
3468337967293,AR001198960,3468337967293,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,42,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198960
3468337967309,AR001198960,3468337967309,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,44,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198960
3468337116523,AR001225410,3468337116523,W T-SHIRT TEAM,W T-SHIRT TEAM,410,RED-WHITE-RED,L,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225410
3468337116653,AR001225410,3468337116653,W T-SHIRT TEAM,W T-SHIRT TEAM,410,RED-WHITE-RED,M,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225410
3468337116417,AR001225410,3468337116417,W T-SHIRT TEAM,W T-SHIRT TEAM,410,RED-WHITE-RED,S,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225410
3468337115311,AR001225410,3468337115311,W T-SHIRT TEAM,W T-SHIRT TEAM,410,RED-WHITE-RED,XL,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225410
3468337116615,AR001225410,3468337116615,W T-SHIRT TEAM,W T-SHIRT TEAM,410,RED-WHITE-RED,XS,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225410
3468337115748,AR001225410,3468337115748,W T-SHIRT TEAM,W T-SHIRT TEAM,410,RED-WHITE-RED,XXL,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225410
3468337116127,AR001225510,3468337116127,W T-SHIRT TEAM,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,L,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225510
3468337116363,AR001225510,3468337116363,W T-SHIRT TEAM,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,M,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225510
3468337115892,AR001225510,3468337115892,W T-SHIRT TEAM,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,S,00616,ביגוד אימונים ארנה,T-shirt,ARENA ITALIA SPA,ארנה,SS27,8.5,169,84,יח',AR001225510
