משפחה,ספק מועדף,מקט ספק פרמטר 4,מקט,תיאור פריט,תיאור פריט,צבע,מותג,דויזן,מגדר,עונה/שנה,עונה,מאפיין,ענף ספורט end use,רויאלטיז,מחלקה במחסן,מגה תת קבוצה,סרגל,,מחיר בסיס/מחיר צרכן קטלוגי,סוג חלוקה,מחיר קנייה EUR,קוד מטבע,תקן עלות ₪,קוד מיון אליטל,מחירון 1/סיטונאי קטלוגי,מחירון 2/סיטונאי נטו,מחירון 3/צרכן רשת,מחירון 4/ סיטונאי MGS
00605,3100310055,002878690,AR002878690,G ARENA KIKKO SWIMSUIT SWIM PRO BACK,G ARENA KIKKO SWIMSUIT SWIM PRO BACK,690,40029,12,33,SS27,SS,,SWIM,,UNIT,,24,,109,,5.6,EUR,,UNIT,54,,109,
00605,3100310055,002878880,AR002878880,G ARENA KIKKO SWIMSUIT SWIM PRO BACK,G ARENA KIKKO SWIMSUIT SWIM PRO BACK,880,40029,12,33,SS27,SS,,SWIM,,UNIT,,24,,109,,5.6,EUR,,UNIT,54,,109,
00609,3100310055,003148104,AR003148104,THE ONE MASK,THE ONE MASK,104,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,129,,6.27,EUR,,UNIT,64,,129,
00609,3100310055,003148107,AR003148107,THE ONE MASK,THE ONE MASK,107,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,129,,6.27,EUR,,UNIT,64,,129,
00609,3100310055,003149105,AR003149105,AIR-SOFT,AIR-SOFT,105,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,89,,4.48,EUR,,UNIT,44,,89,
00609,3100310055,003149170,AR003149170,AIR-SOFT,AIR-SOFT,170,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,89,,4.48,EUR,,UNIT,44,,89,
00609,3100310055,003149510,AR003149510,AIR-SOFT,AIR-SOFT,510,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,89,,4.48,EUR,,UNIT,44,,89,
00609,3100310055,003149550,AR003149550,AIR-SOFT,AIR-SOFT,550,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,89,,4.48,EUR,,UNIT,44,,89,
00609,3100310055,003149707,AR003149707,AIR-SOFT,AIR-SOFT,707,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,89,,4.48,EUR,,UNIT,44,,89,
00609,3100310055,003151100,AR003151100,AIR-SPEED MIRROR,AIR-SPEED MIRROR,100,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,159,,7.83,EUR,,UNIT,80,,159,
00609,3100310055,003151103,AR003151103,AIR-SPEED MIRROR,AIR-SPEED MIRROR,103,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,159,,7.83,EUR,,UNIT,80,,159,
00609,3100310055,003151200,AR003151200,AIR-SPEED MIRROR,AIR-SPEED MIRROR,200,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,159,,7.83,EUR,,UNIT,80,,159,
00609,3100310055,003151203,AR003151203,AIR-SPEED MIRROR,AIR-SPEED MIRROR,203,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,159,,7.83,EUR,,UNIT,80,,159,
