SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Segment,Product Type,Consumer Target,Sizes Overview,Size,Made-In,Taric,Collection Type,Carry Over,SWP EUR,RSP EUR
001198_609_40,001198609,3468337870906,001198,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",40,Cambodia,6112419000,Global,Y,22.85714,48
001198_609_42,001198609,3468337870913,001198,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",42,Cambodia,6112419000,Global,Y,22.85714,48
001198_609_44,001198609,3468337870920,001198,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",44,Cambodia,6112419000,Global,Y,22.85714,48
001198_730_30,001198730,3468337967071,001198,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",30,Cambodia,6112419000,Global,Y,22.85714,48
001198_730_32,001198730,3468337967088,001198,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",32,Cambodia,6112419000,Global,Y,22.85714,48
001198_730_34,001198730,3468337967095,001198,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",34,Cambodia,6112419000,Global,Y,22.85714,48
001198_730_36,001198730,3468337967101,001198,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",36,Cambodia,6112419000,Global,Y,22.85714,48
001198_730_38,001198730,3468337967118,001198,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",38,Cambodia,6112419000,Global,Y,22.85714,48
001198_730_40,001198730,3468337967125,001198,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",40,Cambodia,6112419000,Global,Y,22.85714,48
001198_730_42,001198730,3468337967132,001198,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",42,Cambodia,6112419000,Global,Y,22.85714,48
001198_730_44,001198730,3468337967149,001198,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",44,Cambodia,6112419000,Global,Y,22.85714,48
001198_888_30,001198888,3468337967156,001198,W ARENA ONE BIGLOGO ONE PIECE,888,TURQUOISE-NEON BLUE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",30,Cambodia,6112419000,Global,Y,22.85714,48
001198_888_32,001198888,3468337967163,001198,W ARENA ONE BIGLOGO ONE PIECE,888,TURQUOISE-NEON BLUE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",32,Cambodia,6112419000,Global,Y,22.85714,48
001198_888_34,001198888,3468337967170,001198,W ARENA ONE BIGLOGO ONE PIECE,888,TURQUOISE-NEON BLUE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",34,Cambodia,6112419000,Global,Y,22.85714,48
001198_888_36,001198888,3468337967187,001198,W ARENA ONE BIGLOGO ONE PIECE,888,TURQUOISE-NEON BLUE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",36,Cambodia,6112419000,Global,Y,22.85714,48
001198_888_38,001198888,3468337967194,001198,W ARENA ONE BIGLOGO ONE PIECE,888,TURQUOISE-NEON BLUE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",38,Cambodia,6112419000,Global,Y,22.85714,48
001198_888_40,001198888,3468337967200,001198,W ARENA ONE BIGLOGO ONE PIECE,888,TURQUOISE-NEON BLUE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",40,Cambodia,6112419000,Global,Y,22.85714,48
001198_888_42,001198888,3468337967217,001198,W ARENA ONE BIGLOGO ONE PIECE,888,TURQUOISE-NEON BLUE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",42,Cambodia,6112419000,Global,Y,22.85714,48
001198_888_44,001198888,3468337967224,001198,W ARENA ONE BIGLOGO ONE PIECE,888,TURQUOISE-NEON BLUE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",44,Cambodia,6112419000,Global,Y,22.85714,48
001198_899_30,001198899,3468337726296,001198,W ARENA ONE BIGLOGO ONE PIECE,899,WATER-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",30,Cambodia,6112419000,Global,Y,22.85714,48
001198_899_32,001198899,3468337726302,001198,W ARENA ONE BIGLOGO ONE PIECE,899,WATER-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",32,Cambodia,6112419000,Global,Y,22.85714,48
001198_899_34,001198899,3468337726319,001198,W ARENA ONE BIGLOGO ONE PIECE,899,WATER-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",34,Cambodia,6112419000,Global,Y,22.85714,48
001198_899_36,001198899,3468337726326,001198,W ARENA ONE BIGLOGO ONE PIECE,899,WATER-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",36,Cambodia,6112419000,Global,Y,22.85714,48
001198_899_38,001198899,3468337726333,001198,W ARENA ONE BIGLOGO ONE PIECE,899,WATER-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",38,Cambodia,6112419000,Global,Y,22.85714,48
001198_899_40,001198899,3468337726340,001198,W ARENA ONE BIGLOGO ONE PIECE,899,WATER-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",40,Cambodia,6112419000,Global,Y,22.85714,48
001198_899_42,001198899,3468337726357,001198,W ARENA ONE BIGLOGO ONE PIECE,899,WATER-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",42,Cambodia,6112419000,Global,Y,22.85714,48
001198_899_44,001198899,3468337726364,001198,W ARENA ONE BIGLOGO ONE PIECE,899,WATER-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",44,Cambodia,6112419000,Global,Y,22.85714,48
001198_908_30,001198908,3468337870937,001198,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",30,Cambodia,6112419000,Global,Y,22.85714,48
001198_908_32,001198908,3468337870944,001198,W ARENA ONE BIGLOGO ONE PIECE,908,PLUM-WATER,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",32,Cambodia,6112419000,Global,Y,22.85714,48
