,AQUA GLEAM Limited Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master Data - Distributors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Collection Type,Teamline,Teamline Colorway,Carry Over Style,Carry Over Colorway,Segment,Product Type,Usage Environment,Usage Purpose,Consumer Target,Style Composition,Product Sustainability,Item,Lining,Back,Material Subtype,Product Line,Backbone description,Sizes Overview,Size,FRA size,GER size,ITA size,UK size,USA size,Packaging Sustainability,Net Weight,Gross Weight,InnerBox Pcs,Packaging Weight,Packaging Depth,Packaging Height,Packaging Width,Taric,Fedas,Fedas Colorway,Fedas Size Range,Made-In,AINT EUR SWP,AINT EUR RSP
,006342_509_40,006342509,3468339204945,006342,POWERSKIN CARBON AIR2 LE CB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",40,40,38,44,34,34,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006344_508_55,006344508,3468339207045,006344,POWERSKIN CARBON AIR2 LE JAMMER,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",55,55,0,36,22,22,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
,006344_508_60,006344508,3468339207052,006344,POWERSKIN CARBON AIR2 LE JAMMER,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",60,60,0,38,24,24,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
,006344_508_65,006344508,3468339207069,006344,POWERSKIN CARBON AIR2 LE JAMMER,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",65,65,1,40,26,26,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
,006344_508_70,006344508,3468339207076,006344,POWERSKIN CARBON AIR2 LE JAMMER,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",70,70,2,42,28,28,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
,006344_508_75,006344508,3468339207083,006344,POWERSKIN CARBON AIR2 LE JAMMER,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",75,75,3,44,30,30,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
,006344_508_80,006344508,3468339207090,006344,POWERSKIN CARBON AIR2 LE JAMMER,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",80,80,4,46,32,32,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
,006344_508_85,006344508,3468339207106,006344,POWERSKIN CARBON AIR2 LE JAMMER,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",85,85,5,48,34,34,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
,006344_509_55,006344509,3468339205027,006344,POWERSKIN CARBON AIR2 LE JAMMER,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",55,55,0,36,22,22,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
,006344_509_60,006344509,3468339205034,006344,POWERSKIN CARBON AIR2 LE JAMMER,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Jammer,Pool,Racing,Man,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,,,,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - MAN - Jammer," 55, 60, 65, 70, 75, 80, 85",60,60,0,38,24,24,100% Recycled Paper,75,264,0,189,6.5,17.5,12.5,6211110000,215534,11242,14.40,Slovakia,128.57142999999999,270
